Player,Watch,P,Age,Exp,G,MPG,PPG,RPG,APG,BPG,SPG,2PT%,3PT%,FT%,ORPG,DRPG,TPG,ADP,O%,FPPG,FPPM
"Greg Oden
(*FA)",Add,C,26,4,23,9.2,2.9,2.3,0,0.6,0.3,0.55,0,0.57,1,1.3,0.5,154.1,14,5.8,0.63
"Marquis Teague
(BKL)",Add,G,21,2,39,11.2,2.7,1,1.5,0.1,0.2,0.33,0.28,0.74,0,1,1,286.4,14,5.8,0.52
"Gal Mekel
(DAL)",Add,G,26,1,31,9.4,2.4,0.9,2,0,0.1,0.38,0.25,0.67,0.2,0.7,1,236.3,6,5.8,0.61
"Orlando Johnson
(*FA)",Add,G,25,2,44,8.9,2.3,1.2,0.5,0,0.1,0.41,0.19,0.73,0.2,1,0.3,235.3,6,5.7,0.64
"Victor Claver
(POR)",Add,F,26,2,21,8.7,2.2,1.9,0.6,0.1,0.1,0.58,0.17,0.91,0.4,1.4,0.5,170,2,5.6,0.65
"Otto Porter
(WAS)",Add,F,21,1,34,9.4,2.3,1.7,0.3,0,0.2,0.41,0.19,0.67,0.6,1.1,0.4,149.8,44,5.4,0.58
"Seth Curry
(*FA)",Add,G,24,1,2,6.5,1.5,0.5,0,0,1,0,1,0,0,0.5,0,38.3,6,5.4,0.83
"Andre Roberson
(OKL)",Add,FG,22,1,38,10.4,2,2.4,0.4,0.3,0.5,0.56,0.15,0.7,0.9,1.5,0.5,256,19,5.3,0.51
"Peyton Siva
(*FA)",Add,G,23,1,21,10.6,2.6,0.7,1.6,0,0.4,0.33,0.29,0.73,0.1,0.6,0.9,318.6,13,5.3,0.5
"Garrett Temple
(WAS)",Add,G,28,4,65,9.8,2.1,1,1.1,0.2,0.5,0.4,0.21,0.7,0.3,0.7,0.6,237.6,2,5.3,0.54
"Luigi Datome
(DET)",Add,F,26,1,33,7.1,2.5,1.4,0.3,0,0.2,0.47,0.18,0.8,0.4,1,0.3,184.3,7,5.3,0.74
"Allen Crabbe
(POR)",Add,G,22,1,14,6.9,2.4,0.6,0.4,0.1,0.1,0.32,0.43,0.75,0.1,0.6,0.2,242.3,6,5.2,0.75
"Othyus Jeffers
(*FA)",Add,GF,29,4,3,12,2.3,2.3,0.3,0,0,0.67,0,0.75,0,2.3,0.3,110.9,2,5.1,0.43
"Stephen Jackson
(*FA)",Add,GF,36,14,9,11.8,1.7,1.1,0.6,0.1,0.7,0.42,0.07,0.5,0.2,0.9,0.7,284.6,6,5.1,0.43
"Shannon Brown
(MIA)",Add,G,28,8,24,9.2,2.3,1.1,0.3,0,0.5,0.38,0,0.68,0.3,0.8,0.7,220.6,7,4.8,0.52
"Aaron Gray
(DET)",Add,C,29,7,36,9.7,1.8,3.1,0.6,0.2,0.3,0.45,0,0.55,1.2,1.9,0.9,255.3,18,4.7,0.48
"Alex Len *
(PHO)",Add,C,21,1,42,8.6,2,2.4,0.1,0.4,0.1,0.42,0,0.65,0.9,1.4,0.6,172.3,40,4.6,0.54
"Jamaal Tinsley
(*FA)",Add,G,36,11,8,13.8,1.1,1.4,2.9,0,0.2,0.6,0.07,0,0.3,1.1,1.1,261.7,2,4.6,0.33
"Brandon Rush
(GSW)",Add,G,29,6,38,11.1,2.1,1.2,0.6,0.2,0.1,0.33,0.34,0.6,0.1,1,0.5,234.8,11,4.5,0.41
"Solomon Hill
(IND)",Add,F,23,1,27,8.4,1.7,1.5,0.4,0.1,0.2,0.59,0.3,0.86,0.3,1.2,0.5,170.6,30,4.4,0.52
"Ryan Hollins
(*FA)",Add,C,29,8,61,8,2.3,1.5,0.1,0.5,0.1,0.74,0,0.63,0.5,1,0.5,290.5,11,4.4,0.55
"Jared Cunningham
(*FA)",Add,G,23,2,10,7.4,2.4,0.5,0.8,0,0.3,0.36,0.17,0.81,0,0.5,0.2,175.8,6,3.8,0.51
"AJ Price
(*FA)",Add,G,27,5,26,3.8,1.7,0.4,0.5,0,0,0.54,0.27,0,0,0.3,0.3,279.1,2,3.6,0.93
"Jamaal Franklin
(MEM)",Add,G,23,1,20,8.1,2,1.1,0.3,0.1,0.2,0.39,0.45,1,0.2,1,0.5,246.5,11,3.5,0.44
"Nemanja Nedovic
(GSW)",Add,G,23,1,21,6.7,1.2,0.7,0.6,0,0,0.24,0.17,0.88,0.1,0.6,0.6,258.5,6,3.3,0.49
"Joel Anthony
(BOS)",Add,C,32,7,28,6.6,0.9,1.4,0.1,0.4,0.1,0.38,0,0.33,0.5,0.8,0.1,136.2,6,3.2,0.48
"Tony Mitchell
(DET)",Add,F,22,1,11,4.2,1.4,1.2,0.1,0.2,0.1,0.4,1,0.57,0.8,0.4,0.2,215.3,7,3,0.71
"Bernard James
(DAL)",Add,F,29,2,28,5.1,1,1.5,0.1,0.3,0.1,0.5,0,0.55,0.5,1,0.4,261.3,7,2.8,0.55
"Ronnie Brewer
(*FA)",Add,G,29,8,20,7.9,0.4,0.7,0.5,0,0.3,0.29,0.13,0,0.1,0.6,0.1,204.6,6,2.7,0.34
"Jason Collins
(*FA)",Add,C,35,13,20,8.7,1.2,1,0.2,0,0.4,0.52,0,0.75,0.4,0.6,0.4,251.4,2,2.5,0.28
"Viacheslav Kravtsov
(*FA)",Add,C,27,2,18,3.3,1.1,0.9,0.1,0.1,0,0.53,0,0.5,0.5,0.4,0.3,249.4,2,2.4,0.72
"Hasheem Thabeet
(PHI)",Add,C,27,5,23,8.4,1.2,1.7,0,0.4,0.2,0.57,0,0.2,0.4,1.3,0.6,266.7,7,2.4,0.28
"Ryan Gomes
(*FA)",Add,F,32,9,5,6.6,1.2,0.8,0.2,0,0,0.5,0,0,0,0.8,0.2,234.9,2,2.3,0.34
"Hamady Ndiaye
(*FA)",Add,C,27,4,11,6.6,0.5,1.5,0.3,0.4,0,0.33,0,0,0.5,1.1,0.3,61,2,1.7,0.25
"Andris Biedrins
(*FA)",Add,FC,28,10,6,7.3,0.5,2.8,0,0,0,1,0,0.17,0.3,2.5,0.3,220.2,6,1.4,0.19
"Erik Murphy
(CLE)",Add,F,23,1,18,3.3,0.3,0.4,0.1,0.2,0,0.33,0,0,0.1,0.3,0.1,198.5,6,1.1,0.32
"Royce White
(*FA)",Add,F,23,2,3,3,0,0,0,0,0,0,0,0,0,0,0,249.6,2,-0.8,-0.27
