STATS,Player,P,Age,Exp,G,MPG,PPG,RPG,APG,BPG,SPG,2pt,3pt,ft,ORPG,DRPG,TPG,ADP,O,FPPG,FPPM
"Jason Smith *
(NYK)",Remove,FC,28,6,31,26.6,9.7,5.8,0.9,0.9,0.4,0.46,0,0.78,1.6,4.2,0.9,165.2,35,16.9,0.63
"Amare Stoudemire
(NYK)",Remove,FC,31,12,65,22.6,11.9,4.9,0.5,0.6,0.4,0.56,0,0.74,1.7,3.2,1.4,123.9,69,16.8,0.74
"Miles Plumlee
(PHO)",Remove,FC,26,2,80,24.5,8.1,7.8,0.5,1.1,0.6,0.52,0,0.56,2.5,5.4,1.4,112.5,69,16.8,0.68
"Timofey Mozgov
(DEN)",Add,C,28,4,82,21.6,9.4,6.4,0.8,1.2,0.3,0.54,0.17,0.75,2.1,4.4,1.5,108.9,66,16.6,0.77
"Matt Barnes
(LAC)",Add,F,34,11,63,27.6,9.9,4.6,2,0.4,0.9,0.55,0.34,0.73,1,3.7,1.3,202.8,42,16.5,0.6
"Jordan Farmar
(LAC)",Add,G,27,8,41,22.2,10.1,2.5,4.9,0.2,0.9,0.4,0.44,0.75,0.5,2,2.3,154.2,51,16.3,0.73
"Caron Butler
(DET)",Remove,F,34,12,56,25.3,10.5,4.1,1.5,0.3,0.8,0.4,0.39,0.84,0.4,3.7,1.1,206,32,16.1,0.64
"Marco Belinelli
(SAS)",Remove,G,28,7,80,25.2,11.4,2.8,2.2,0.1,0.6,0.52,0.43,0.85,0.2,2.6,1.2,159.3,58,16,0.64
"Glen Davis
(LAC)",Remove,FC,28,7,68,24.5,9.4,5.2,1.1,0.4,0.9,0.46,0.36,0.69,1.6,3.6,1.1,151.1,39,15.9,0.65
"Zaza Pachulia
(MIL)",Add,C,30,11,53,24.9,7.7,6.3,2.6,0.3,0.8,0.43,0,0.85,2.7,3.6,1.7,169.9,43,15.9,0.64
"Wesley Johnson
(LAL)",Add,GF,27,4,79,28.4,9.1,4.4,1.6,1,1.1,0.47,0.37,0.79,0.9,3.5,1.1,207,42,15.9,0.56
"Kris Humphries
(WAS)",Remove,FC,29,10,68,20.3,8.5,6,1,0.9,0.5,0.5,0,0.81,1.9,4.1,0.9,138.6,58,15.9,0.78
"Marvin Williams
(CHA)",Add,F,28,9,66,25.3,9.1,5.1,1.2,0.5,0.8,0.5,0.36,0.78,1.2,3.8,0.8,192.4,39,15.9,0.63
"Jordan Crawford
(GSW)",Remove,G,25,4,81,22.9,11,2.3,3.5,0.1,0.6,0.47,0.32,0.86,0.3,1.9,1.7,177,42,15.7,0.68
"Jarrett Jack
(BKL)",Remove,G,30,9,80,28.2,9.5,2.8,4.1,0.3,0.7,0.43,0.34,0.84,0.3,2.5,1.7,166.3,47,15.7,0.56
"Tiago Splitter
(SAS)",Add,FC,29,4,59,21.6,8.2,6.2,1.5,0.5,0.5,0.53,0,0.7,2.1,4.1,1.3,98.5,77,15.6,0.72
"Kirk Hinrich
(CHI)",Remove,G,33,11,73,29,9.1,2.6,3.9,0.4,1.1,0.42,0.35,0.76,0.4,2.2,1.6,219.4,39,15.5,0.53
"Andrew Bynum
(*FA)",Add,C,26,9,26,19.9,8.7,5.6,1.1,1.1,0.2,0.42,0,0.76,2,3.5,1.3,203.2,42,15.4,0.77
"Boris Diaw
(SAS)",Remove,FC,32,11,79,25,9.1,4.1,2.8,0.4,0.6,0.55,0.4,0.74,0.9,3.2,1.5,121.4,66,15.4,0.62
"Patrick Patterson
(TOR)",Remove,F,25,4,65,23.6,8.5,5.3,1.2,0.6,0.8,0.5,0.36,0.7,1.8,3.5,1,184.4,47,15.4,0.65
"Lou Williams
(TOR)",Remove,G,27,9,60,24.1,10.4,2.1,3.5,0.1,0.8,0.45,0.34,0.85,0.2,1.9,1.5,192.3,42,15.3,0.64
"OJ Mayo
(MIL)",Remove,G,26,6,52,25.9,11.7,2.4,2.2,0.2,0.5,0.43,0.37,0.86,0.5,1.9,1.8,152.2,47,15.2,0.59
"Al-Farouq Aminu
(DAL)",Remove,F,23,4,80,25.6,7.2,6.2,1.4,0.5,1,0.5,0.27,0.66,1.6,4.6,1.1,195.2,39,15.2,0.59
