FAN,STATS,Player,P,Age,Exp,G,MPG,PPG,RPG,APG,BPG,SPG,2pt,3pt,ft,ORPG,DRPG,TPG,ADP,O,FPPG,FPPM
,"Jeremy Pargo
(*FA)",Add,G,28,3,39,16.9,6.8,1.3,2.4,0.1,0.3,0.42,0.34,0.68,0.2,1.1,1.3,248.4,2,12.8,0.75
,"Steve Novak
(UTA)",Add,F,31,8,81,20.3,6.6,1.9,0.4,0.1,0.3,0.37,0.42,0.91,0.2,1.7,0.1,240.8,6,12.7,0.63
,"Garrett Temple
(WAS)",Add,G,28,4,50,23.2,5.2,2.5,2.3,0.3,1,0.44,0.33,0.7,0.6,1.9,1.2,237.6,2,12.6,0.55
,"Reggie Jackson
(OKL)",Add,G,24,3,70,14.5,5.5,2.4,1.8,0.2,0.4,0.57,0.24,0.84,0.3,2.1,0.8,104.2,64,12.6,0.87
,"Cartier Martin
(DET)",Add,GF,29,6,40,17.3,6.8,2.5,0.5,0.2,0.5,0.36,0.4,0.71,0.3,2.2,0.8,194.6,13,12.5,0.72
,"Darrell Arthur
(DEN)",Add,F,26,5,59,16.5,6.1,2.9,0.6,0.6,0.4,0.46,0.28,0.72,1.2,1.7,0.7,272.9,21,12.4,0.76
,"Danny Granger
(MIA)",Add,F,31,9,5,15,5.4,1.8,0.6,0.2,0.4,0.32,0.2,0.63,0.6,1.2,0.8,163,45,12.3,0.82
,"Landry Fields
(TOR)",Add,F,26,4,50,20.7,4.8,4.2,1.2,0.2,0.6,0.48,0.14,0.64,1.2,3,0.8,216.8,19,12.3,0.59
,"Terrence Ross
(TOR)",Add,GF,23,2,73,17,6.4,2,0.7,0.2,0.6,0.46,0.33,0.71,0.5,1.5,0.7,148,56,12.2,0.72
,"Greg Smith
(DAL)",Add,C,23,3,70,15.8,6,4.6,0.4,0.6,0.2,0.62,0,0.61,1.6,3,0.6,213.2,21,12.2,0.77
,"DeJuan Blair
(WAS)",Add,FC,25,5,60,14.2,5.5,3.8,0.8,0.2,0.6,0.53,0,0.63,1.1,2.7,0.8,174.8,49,12.1,0.85
,"Chris Andersen
(MIA)",Add,C,36,12,42,14.9,4.9,4.1,0.4,1,0.4,0.58,0.67,0.68,1.4,2.7,0.6,223,50,12.1,0.81
,"Cory Joseph
(SAS)",Add,G,23,3,25,15.5,5,2.1,2.1,0.2,0.6,0.51,0.29,0.86,0.5,1.6,0.8,192.7,33,12.1,0.78
,"Jae Crowder
(DAL)",Add,F,24,2,77,17.5,5.1,2.4,1.2,0.2,0.8,0.45,0.33,0.64,0.5,2,0.6,240.7,25,11.7,0.67
,"Willie Green
(ORL)",Add,G,33,11,72,16.5,6.2,1.3,0.8,0.2,0.4,0.49,0.43,0.72,0.2,1.1,0.4,239.8,6,11.6,0.71
,"John Jenkins *
(ATL)",Add,G,23,2,61,14.9,6.1,1.5,0.9,0.2,0.2,0.5,0.38,0.84,0.3,1.3,0.7,230,13,11.5,0.78
,"James Johnson
(TOR)",Add,F,27,5,54,16.3,5.1,2.7,1.1,0.9,0.8,0.44,0.1,0.6,0.9,1.8,1.3,232.6,44,11.5,0.71
,"Thomas Robinson
(POR)",Add,F,23,2,70,15.1,4.8,4.5,0.7,0.4,0.6,0.43,0,0.52,1.7,2.8,1.3,210.5,44,11.5,0.76
,"Jamaal Tinsley
(*FA)",Add,G,36,11,66,18.5,3.5,1.7,4.4,0.2,1,0.44,0.31,0.69,0.3,1.5,1.6,261.7,2,11.3,0.61
,"Khris Middleton
(MIL)",Add,F,23,2,27,17.7,6.1,1.9,1,0.1,0.6,0.5,0.31,0.84,0.1,1.7,0.4,187.2,45,11.1,0.63
,"Ekpe Udoh
(*FA)",Add,F,27,4,76,17.2,4.2,3.3,0.6,1.1,0.5,0.44,0,0.75,1.5,1.8,0.6,260.1,25,10.7,0.62
,"Daniel Gibson
(*FA)",Add,G,28,8,46,20,5.4,1.3,1.8,0.1,0.7,0.33,0.34,0.7,0.1,1.2,0.7,220.7,2,10.7,0.53
,"John Lucas
(CLE)",Add,G,31,2,56,13.6,5.2,1,1.5,0,0.4,0.39,0.37,0.74,0.1,0.9,0.4,244.1,2,10.6,0.78
,"DJ Augustin
(DET)",Add,G,26,6,77,16.1,4.6,1.2,2.2,0,0.5,0.35,0.35,0.84,0.3,0.9,0.9,166,38,10.6,0.66
,"Donatas Motiejunas
(HOU)",Add,FC,23,2,45,12.1,5.7,2.1,0.7,0.2,0.1,0.57,0.29,0.63,0.8,1.3,0.8,170.8,45,10.4,0.86
,"Eric Maynor
(*FA)",Add,G,27,5,64,15,4.5,0.7,2.8,0,0.3,0.39,0.35,0.73,0.1,0.6,1.2,292.5,6,10.2,0.68
,"Mickael Pietrus
(*FA)",Add,GF,32,11,18,19.8,5.2,1.9,0.5,0.3,0.6,0.44,0.31,0.67,0.3,1.6,0.9,237.6,2,10.1,0.51
